candidate_id,candidate_ddd_mobile,candidate_pcd,candidate_certifications,candidate_academic_level,candidate_english_level,candidate_spanish_level
0,,,0,,,
1,11,,0,Ensino Superior Completo,,
10,22,,0,Ensino Superior Completo,,
100,11,,0,Pós Graduação Completo,,
1000,11,,0,,,
10000,11,,0,,,
10001,,,0,,,
10002,11,,0,,,
10003,11,,0,,,
10004,11,,0,,,
10005,11,,0,,,
10006,19,,0,,,
10007,11,,0,,,
10008,98,,0,,,
10009,11,,0,Ensino Superior Completo,Avançado,
1001,11,,0,,,
10010,11,,0,,,
10011,11,,0,,,
10012,11,,0,,,
10013,11,,0,,,
10014,21,,0,,,
10015,11,,0,,,
10016,11,,0,,,
10017,11,,0,,,
10018,11,,0,,,
10019,11,,0,,,
1002,11,,0,,,
10020,21,,0,,,
10021,11,,0,,,
10022,11,,0,,,
10023,11,,0,,,
10024,11,,0,,,
10025,19,,0,,,
10026,11,,0,,,
10027,11,,0,,,
10028,11,,0,,,
10029,21,,0,,,
1003,19,,0,,,
10030,21,,0,,,
10031,11,,0,,,
10032,21,,0,,,
10033,11,,0,,,
10034,19,,0,,,
10035,11,,0,,,
10036,35,,0,,,
10037,11,,0,,,
10038,21,,0,,,
10039,21,,0,,,
1004,11,,0,,,
10040,81,,0,,,
10041,11,,0,,,
10042,11,,0,,,
10043,94,,0,,,
10044,11,,0,,,
10045,13,,0,,,
10046,11,,0,,,
10047,11,,0,,,
10048,11,,0,,,
10049,21,,0,,,
1005,89,,0,,,
10050,11,,0,,,
10051,11,,0,,,
10052,13,,0,,,
10053,11,,0,,,
10054,13,,0,,,
10055,11,,0,,,
10056,21,,0,,,
10057,19,,0,,,
10058,19,,0,,,
10059,97,,0,,,
1006,11,,0,,,
10060,11,,0,,,
10061,11,,0,,,
10062,,,0,,,
10063,11,,0,,,
10064,11,,0,,,
10065,,,0,,,
10066,,,0,,,
10067,11,,0,,,
10068,,,0,,,
10069,11,,0,,,
1007,91,,0,,,
10070,11,,0,,,
10071,11,,0,,,
10072,11,,0,,,
10073,11,,0,,,
10074,98,,0,,,
10075,11,,0,,,
10076,11,,0,,,
10077,11,,0,,,
10078,11,,0,,,
10079,11,,0,,,
1008,11,,0,,,
10080,11,,0,,,
10081,11,,0,,,
10082,19,,0,,,
10083,11,,0,,,
10084,11,,0,,,
10085,11,,0,,,
10086,11,,0,,,
10087,19,,0,,,
10088,11,,0,,,
10089,19,,0,,,
1009,11,,0,,,
10090,19,,0,,,
10091,19,,0,,,
10092,11,,0,,,
10093,19,,0,,,
10094,11,,0,,,
10095,19,,0,,,
10096,19,,0,,,
10097,19,,0,,,
10098,11,,0,,,
10099,11,,0,,,
101,11,,0,Pós Graduação Completo,,
1010,11,,0,,,
10100,11,,0,,,
10101,11,,0,,,
10102,11,,0,,,
10103,11,,0,,,
10104,11,,0,,,
10105,11,,0,,,
10106,11,,0,,,
10107,11,,0,,,
10108,11,,0,,,
10109,21,,0,,,
1011,11,,0,,,
10110,13,,0,,,
10111,11,,0,,,
10112,11,,0,,,
10113,51,,0,,,
10114,11,,0,,,
10115,11,,0,,,
10116,11,,0,,,
10117,11,,0,,,
10118,21,,0,,,
10119,11,,0,,,
1012,21,,0,,,
10120,11,,0,,,
10121,12,,0,,,
10122,11,,0,,,
10123,31,,0,,,
10124,11,,0,,,
10125,21,,0,,,
10126,31,,0,,,
10127,11,,0,,,
10128,21,,0,,,
10129,31,,0,,,
1013,19,,0,,,
10130,11,,0,,,
10131,11,,0,,,
10132,21,,0,,,
10133,38,,0,,,
10134,97,,0,,,
10135,21,,0,,,
10136,31,,0,,,
10137,11,,0,,,
10138,11,,0,,,
10139,98,,0,,,
1014,11,,0,,,
10140,11,,0,,,
10141,11,,0,,,
10142,84,,0,,,
10143,11,,0,,,
10144,21,,0,,,
10145,16,,0,,,
10146,11,,0,,,
10147,21,,0,,,
10148,11,,0,,,
10149,11,,0,,,
1015,11,,0,,,
10150,11,,0,,,
10151,19,,0,,,
10152,19,,0,,,
10153,19,,0,,,
10154,11,,0,,,
10155,31,,0,,,
10156,31,,0,,,
10157,13,,0,,,
10158,11,,0,,,
10159,11,,0,,,
1016,11,,0,,,
10160,11,,0,,,
10161,61,,0,,,
10162,31,,0,,,
10163,11,,0,,,
10164,21,,0,,,
10165,11,,0,,,
10166,11,,0,,,
10167,11,,0,,,
10168,11,,0,,,
10169,19,,0,,,
1017,16,,0,,,
10170,71,,0,,,
10171,11,,0,,,
10172,11,,0,,,
10173,11,,0,,,
10174,11,,0,Pós Graduação Completo,,
10175,11,,0,,,
10176,11,,0,,,
10177,11,,0,,,
10178,11,,0,,,
10179,21,,0,,,
1018,11,,0,,,
10180,11,,0,,,
10181,11,,0,,,
10182,11,,0,,,
10183,11,,0,,,
10184,11,,0,,,
10185,11,,0,,,
10186,11,,0,,,
10187,11,,0,,,
10188,21,,0,,,
10189,,,0,,,
1019,97,,0,,,
10190,11,,0,,,
10191,11,,0,,,
10192,11,,0,,,
10193,11,,0,,,
10194,21,,0,,,
10195,11,,0,,,
10196,11,,0,,,
10197,11,,0,,,
10198,11,,0,,,
10199,11,,0,,,
102,11,,0,Ensino Superior Completo,,
1020,83,,0,,,
10200,11,,0,,,
10201,11,,0,,,
10202,11,,0,,,
10203,11,,0,,,
10204,11,,0,Ensino Superior Completo,,
10205,11,,0,,,
10206,11,,0,,,
10207,11,,0,,,
10208,11,,0,,,
10209,01,,0,,,
1021,11,,0,,,
10210,11,,0,,,
10211,11,,0,,,
10212,19,,0,,,
10213,11,,0,,,
10214,11,,0,,,
10215,11,,0,,,
10216,11,,0,,,
10217,11,,0,,,
10218,11,,0,,,
