prospect_id,prospect_candidate_code,prospect_candidate_status,prospect_application_date
10,12611,Encaminhado ao Requisitante,07-12-2018
10,12622,Encaminhado ao Requisitante,07-12-2018
10,12621,Prospect,07-12-2018
10,12620,Encaminhado ao Requisitante,07-12-2018
10,12619,Encaminhado ao Requisitante,07-12-2018
10,12616,Não Aprovado pelo Requisitante,07-12-2018
10,12615,Encaminhado ao Requisitante,07-12-2018
10,12614,Encaminhado ao Requisitante,07-12-2018
10,12612,Encaminhado ao Requisitante,07-12-2018
100,210,Não Aprovado pelo Requisitante,16-01-2019
100,12973,Encaminhado ao Requisitante,16-01-2019
100,12975,Encaminhado ao Requisitante,16-01-2019
100,13817,Contratado pela Decision,22-01-2019
100,12978,Encaminhado ao Requisitante,16-01-2019
10000,38274,Prospect,11-08-2022
10000,38246,Encaminhado ao Requisitante,10-08-2022
10000,38219,Encaminhado ao Requisitante,09-08-2022
10002,25113,Prospect,08-08-2022
10002,25067,Prospect,08-08-2022
10002,25013,Prospect,08-08-2022
10002,38358,Prospect,16-08-2022
10002,23037,Encaminhado ao Requisitante,10-08-2022
10002,36923,Encaminhado ao Requisitante,10-08-2022
10002,24877,Prospect,08-08-2022
10002,37233,Encaminhado ao Requisitante,22-08-2022
10002,38411,Prospect,18-08-2022
10002,38230,Prospect,10-08-2022
10002,38336,Prospect,15-08-2022
10002,38343,Encaminhado ao Requisitante,16-08-2022
10002,38372,Prospect,16-08-2022
10002,39330,Prospect,13-09-2022
10002,38228,Prospect,10-08-2022
10003,1852,Prospect,11-08-2022
10003,25011,Prospect,11-08-2022
10003,16667,Prospect,18-08-2022
10003,14534,Prospect,11-08-2022
10003,14343,Entrevista Técnica,10-08-2022
10003,8827,Prospect,10-08-2022
10004,17974,Prospect,24-08-2022
10004,13500,Prospect,24-08-2022
10004,37606,Não Aprovado pelo Cliente,25-08-2022
10004,37690,Prospect,25-08-2022
10004,2444,Em avaliação pelo RH,14-08-2022
10004,38328,Prospect,12-08-2022
10004,37741,Prospect,25-08-2022
10004,38331,Não Aprovado pelo Cliente,15-08-2022
10004,38329,Prospect,12-08-2022
10004,38688,Prospect,25-08-2022
10004,38689,Encaminhado ao Requisitante,25-08-2022
10004,38691,Prospect,25-08-2022
10004,38742,Encaminhado ao Requisitante,26-08-2022
10005,448,Encaminhado ao Requisitante,17-08-2022
10005,19260,Encaminhado ao Requisitante,23-08-2022
10005,34072,Prospect,16-08-2022
10005,38285,Inscrito,12-08-2022
10005,38243,Encaminhado ao Requisitante,10-08-2022
10007,38251,Prospect,11-08-2022
10007,28084,Prospect,11-08-2022
10007,33733,Prospect,11-08-2022
10007,38247,Prospect,11-08-2022
10007,23681,Prospect,11-08-2022
10007,38249,Prospect,11-08-2022
10007,38250,Prospect,11-08-2022
10007,38256,Prospect,11-08-2022
10007,38248,Prospect,11-08-2022
10007,38259,Sem interesse nesta vaga,11-08-2022
10007,38287,Contratado pela Decision,12-08-2022
10007,38288,Contratado pela Decision,12-08-2022
10007,38289,Encaminhado ao Requisitante,12-08-2022
10007,38298,Sem interesse nesta vaga,12-08-2022
10007,38302,Sem interesse nesta vaga,12-08-2022
10007,38332,Encaminhado ao Requisitante,15-08-2022
10007,38258,Sem interesse nesta vaga,11-08-2022
10008,38830,Prospect,30-08-2022
10008,38624,Encaminhado ao Requisitante,24-08-2022
10008,38522,Prospect,22-08-2022
10008,38253,Contratado como Hunting,12-08-2022
10008,38281,Prospect,11-08-2022
10008,38847,Prospect,31-08-2022
10008,37602,Encaminhado ao Requisitante,15-09-2022
10008,38283,Prospect,11-08-2022
10008,38859,Sem interesse nesta vaga,31-08-2022
10008,38895,Prospect,31-08-2022
10008,38870,Sem interesse nesta vaga,31-08-2022
10008,38888,Prospect,31-08-2022
10008,38923,Encaminhado ao Requisitante,01-09-2022
10008,39026,Sem interesse nesta vaga,06-09-2022
10008,39343,Prospect,13-09-2022
10008,39388,Prospect,14-09-2022
10008,39421,Encaminhado ao Requisitante,15-09-2022
10008,31110,Prospect,11-08-2022
10008,38867,Encaminhado ao Requisitante,31-08-2022
10008,31109,Prospect,11-08-2022
10009,38412,Prospect,18-08-2022
10009,12877,Encaminhado ao Requisitante,23-08-2022
10009,38406,Prospect,17-08-2022
10009,38666,Prospect,25-08-2022
1001,16501,Contratado pela Decision,29-07-2019
1001,16219,Inscrito,04-07-2019
1001,16218,Inscrito,04-07-2019
1001,16217,Inscrito,04-07-2019
1001,16216,Inscrito,04-07-2019
1001,16209,Desistiu,04-07-2019
1001,16208,Não Aprovado pelo Cliente,04-07-2019
10010,38204,Prospect,24-08-2022
10010,36815,Encaminhado ao Requisitante,17-08-2022
10010,37760,Encaminhado ao Requisitante,17-08-2022
10010,38209,Prospect,29-08-2022
10010,38581,Encaminhado ao Requisitante,23-08-2022
10011,37426,Prospect,11-08-2022
10012,38359,Prospect,16-08-2022
10012,38277,Desistiu,11-08-2022
10012,38276,Prospect,11-08-2022
10012,32304,Encaminhado ao Requisitante,11-08-2022
10013,38265,Encaminhado ao Requisitante,11-08-2022
10013,38268,Encaminhado ao Requisitante,11-08-2022
10013,371,Prospect,24-08-2022
10013,38947,Prospect,02-09-2022
10013,38771,Encaminhado ao Requisitante,29-08-2022
10014,38280,Encaminhado ao Requisitante,11-08-2022
10014,38275,Prospect,11-08-2022
10014,38270,Prospect,11-08-2022
10014,38267,Encaminhado ao Requisitante,11-08-2022
10014,33613,Prospect,11-08-2022
10014,33610,Encaminhado ao Requisitante,11-08-2022
10015,16747,Encaminhado ao Requisitante,11-08-2022
10015,12941,Prospect,11-08-2022
10018,38919,Prospect,01-09-2022
10018,38921,Não Aprovado pelo RH,01-09-2022
10018,38979,Prospect,05-09-2022
10018,38952,Sem interesse nesta vaga,02-09-2022
10019,38418,Prospect,18-08-2022
10019,38416,Prospect,18-08-2022
1002,16207,Contratado pela Decision,04-07-2019
10020,37868,Contratado pela Decision,17-08-2022
10021,38252,Contratado pela Decision,17-08-2022
10022,38529,Contratado pela Decision,22-08-2022
10022,38374,Prospect,16-08-2022
10023,25039,Encaminhado ao Requisitante,26-08-2022
10023,26433,Prospect,16-08-2022
10023,38374,Prospect,16-08-2022
10024,25993,Prospect,24-08-2022
10024,23192,Prospect,24-08-2022
10024,17913,Prospect,24-08-2022
10024,14251,Encaminhado ao Requisitante,25-08-2022
10024,9211,Encaminhado ao Requisitante,15-09-2022
10024,9208,Encaminhar Proposta,05-09-2022
10024,2269,Encaminhado ao Requisitante,15-08-2022
10025,38313,Contratado pela Decision,12-08-2022
10026,38339,Prospect,15-08-2022
10028,31831,Encaminhado ao Requisitante,24-08-2022
10028,20564,Encaminhado ao Requisitante,24-08-2022
10029,38359,Encaminhado ao Requisitante,16-08-2022
10029,38276,Encaminhado ao Requisitante,17-08-2022
10029,21783,Prospect,30-08-2022
10030,37906,Sem interesse nesta vaga,15-08-2022
10030,13003,Prospect,15-08-2022
10030,38317,Prospect,12-08-2022
10030,23653,Entrevista Técnica,12-08-2022
10030,38318,Sem interesse nesta vaga,12-08-2022
10030,38320,Prospect,12-08-2022
10030,38321,Prospect,12-08-2022
10030,38322,Prospect,12-08-2022
10030,38389,Prospect,17-08-2022
10030,38326,Prospect,12-08-2022
10030,38330,Prospect,15-08-2022
10030,38334,Encaminhado ao Requisitante,15-08-2022
10030,38335,Prospect,15-08-2022
10030,38337,Encaminhado ao Requisitante,15-08-2022
10030,38377,Contratado pela Decision,16-08-2022
10030,38399,Encaminhado ao Requisitante,17-08-2022
10030,38400,Prospect,17-08-2022
10030,38323,Prospect,12-08-2022
10030,22545,Encaminhado ao Requisitante,15-08-2022
10031,7705,Encaminhado ao Requisitante,15-08-2022
10031,36942,Encaminhado ao Requisitante,15-08-2022
10032,38376,Encaminhado ao Requisitante,16-08-2022
10032,38386,Encaminhado ao Requisitante,16-08-2022
10032,38380,Prospect,16-08-2022
10032,38379,Prospect,16-08-2022
10033,38881,Encaminhado ao Requisitante,31-08-2022
10033,38530,Prospect,22-08-2022
10033,38523,Prospect,22-08-2022
10033,38454,Encaminhado ao Requisitante,18-08-2022
10033,38441,Prospect,18-08-2022
10033,38437,Prospect,18-08-2022
10033,37906,Prospect,18-08-2022
10033,37607,Encaminhado ao Requisitante,18-08-2022
10034,4767,Prospect,16-08-2022
