vacancy_id,vacancy_contract_type,vacancy_sap,vacancy_region,vacancy_pcd,vacancy_professional_level,vacancy_education_level,vacancy_english_level,vacancy_spanish_level
10,CLT,Não,São Paulo,Não,Analista,Ensino Superior Incompleto,Técnico,Nenhum
100,CLT,Não,São Paulo,Não,Analista,Ensino Superior Completo,Intermediário,Intermediário
1000,CLT,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10000,PJ,Não,São Paulo,Não,Sênior,Ensino Superior Completo,Básico,
10001,CLT,Não,Minas Gerais,Não,Analista,Ensino Superior Completo,Básico,Básico
10002,CLT,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10003,PJ,Não,São Paulo,Não,Sênior,Ensino Superior Completo,Avançado,Nenhum
10004,Hunting,Não,São Paulo,Não,Pleno,Ensino Superior Completo,Intermediário,Nenhum
10005,CLT,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10006,CLT,Não,Rio de Janeiro,Não,Analista,Ensino Superior Completo,Básico,Básico
10007,CLT,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10008,CLT,Não,Ceará,,Analista,Ensino Superior Completo,Básico,Nenhum
10009,PJ,Não,São Paulo,Não,Analista,Ensino Superior Completo,Avançado,Básico
1001,,Não,São Paulo,Não,Sênior,Pós Graduação Completo,Intermediário,Nenhum
10010,CLT,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10011,CLT,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10012,CLT,Não,São Paulo,Não,Analista,Ensino Superior Completo,Intermediário,Intermediário
10013,CLT,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10014,CLT,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10015,PJ,Não,São Paulo,Não,Analista,Ensino Superior Completo,Avançado,Básico
10016,Hunting,Não,São Paulo,Não,Sênior,Ensino Superior Cursando,Fluente,
10017,Hunting,Não,São Paulo,,Sênior,Ensino Superior Cursando,Fluente,
10018,Hunting,Não,São Paulo,,Pleno,Ensino Superior Cursando,Fluente,
10019,Hunting,Não,São Paulo,,Pleno,Ensino Superior Cursando,Fluente,
1002,PJ,Não,Distrito Federal,Não,Pleno,Pós Graduação Completo,Básico,Nenhum
10020,CLT,Não,São Paulo,,Júnior,Ensino Médio Completo,Nenhum,
10021,CLT,Não,São Paulo,,Pleno,Ensino Médio Completo,Nenhum,
10022,PJ,Não,São Paulo,,Pleno,Ensino Superior Cursando,Intermediário,
10023,PJ,Não,São Paulo,,Sênior,Ensino Superior Cursando,Intermediário,
10024,PJ,Não,São Paulo,,Sênior,Ensino Superior Cursando,Avançado,
10025,PJ,Não,São Paulo,,Sênior,Ensino Superior Cursando,Avançado,
10026,PJ,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10027,PJ,Não,São Paulo,Não,Analista,Ensino Superior Completo,Avançado,Básico
10028,CLT,Não,São Paulo,Não,Analista,Ensino Superior Cursando,Intermediário,Básico
10029,CLT,Não,Pernambuco,Não,Analista,Ensino Superior Completo,Básico,Básico
1003,CLT,Não,São Paulo,Não,Analista,Ensino Superior Completo,Fluente,Básico
10030,Cooperado,Não,São Paulo,Não,Analista,Ensino Médio Completo,Básico,Básico
10031,PJ,Não,São Paulo,Não,Sênior,Ensino Superior Completo,Intermediário,Avançado
10032,PJ,Não,São Paulo,Não,Sênior,Ensino Superior Completo,Intermediário,Nenhum
10033,CLT,Não,São Paulo,Não,Pleno,Ensino Superior Completo,Fluente,Nenhum
10034,CLT,Não,Pernambuco,Não,Analista,Ensino Superior Completo,Avançado,Básico
10035,PJ,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10036,PJ,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10037,PJ,Não,São Paulo,Não,Analista,Ensino Superior Completo,Básico,Básico
10038,CLT,Não,Minas Gerais,Não,Analista,Ensino Superior Completo,Básico,Básico
10039,CLT,Não,Minas Gerais,Não,Analista,Ensino Superior Completo,Básico,Básico
1004,Hunting,Não,São Paulo,Não,Analista,Ensino Superior Completo,Intermediário,Intermediário
10040,CLT,Não,Minas Gerais,Não,Analista,Ensino Superior Completo,Básico,Básico
10041,CLT,Não,Minas Gerais,Não,Analista,Ensino Superior Completo,Básico,Básico
